AirportNode,PageRankValue
ORD,4.228510253615341
DEN,3.9877486692002546
DFW,3.156090863365515
ATL,3.1432237847491473
PHX,2.675551631881731
LAX,2.643896942502539
CLT,2.603437357020547
LAS,2.335036483945933
MCO,2.316826119001359
IAH,2.2807504963769785
MSP,2.2168594648763764
DTW,2.1725043086432274
PHL,2.154657783649398
BET,2.1367293693388536
ANC,2.1297584474341704
MEM,2.122584563889563
SEA,2.114463186116213
EWR,2.0070199270116422
SLC,1.9137524886751736
FLL,1.9028435808539301
MIA,1.636529232079822
SDF,1.6167608931279023
TPA,1.5828810305437777
IAD,1.5417295869345742
FAI,1.5013484930500454
SFO,1.457481571819601
BOS,1.3845892800968793
CVG,1.370303501388942
JFK,1.2783960789139182
BNA,1.219591405083976
BWI,1.1639685449806327
WFB,1.1590018814282472
IND,1.1488006223495184
PDX,1.1351360147545424
A43,1.0452406769721525
RSW,1.0102126171015642
ONT,0.9949825094304098
AUS,0.9852180497642824
RDU,0.939438051323165
STL,0.929258249668371
OAK,0.8581416003885158
MSY,0.8563242095396979
DCA,0.8164892749584947
LGA,0.7996991763815265
SAN,0.7906732151566671
SAT,0.7867123629608009
MCI,0.7736520027202449
PIT,0.7545912269091462
CLE,0.7499548362391348
OME,0.7280444594887833
MDW,0.7267895448597012
HOU,0.6922378208648956
HNL,0.6774191380068166
PBI,0.672185051598801
SMF,0.6695950985845377
SJU,0.6603988101908272
MKE,0.6222602828081568
DAL,0.6177329683391118
OTZ,0.5978640318437249
SJC,0.5976147893868881
UAM,0.544331140255577
CMH,0.5304696326279839
BDL,0.5175118485130432
SFB,0.4983902462181827
JAX,0.49316036898912724
RNO,0.47333468495884157
RIC,0.4636965738745778
AKN,0.4625922319022362
SNA,0.4588916225957803
OMA,0.45698360034076696
VNY,0.4540570116362223
BOI,0.44690338667195656
BUF,0.43836438336485906
ANI,0.4337707910161388
ELP,0.43150793619486594
GEG,0.4222831208748987
OKC,0.4209113364144919
JNU,0.42076818906758073
CHS,0.4014774719146729
TEB,0.4007827042807376
SRQ,0.3992495914743132
GPT,0.39779571592426816
RFD,0.39214629827360364
ORF,0.3915250797734871
HPN,0.38187882810635276
PSP,0.37550592329660876
DLG,0.36758983149924984
ABQ,0.3669660484965357
DSM,0.3650600549528295
AZA,0.35933492966117103
ADQ,0.3567300393117282
GRR,0.3522724791410269
GSO,0.34886970728336675
OGG,0.34871592957446446
TUL,0.33454986714348517
TYS,0.3286502922546117
SYR,0.31880733276591844
BZN,0.3043034173729995
UNK,0.3026355052318609
TUS,0.3018885948567921
PIE,0.2978000779139181
KKB,0.2945590999613392
YIP,0.2908716411923373
PGD,0.2908476109291512
EMK,0.2852512836991774
DUT,0.2735192837931722
SAV,0.2660960429901301
OPF,0.2568385431467664
KOA,0.25589436071184174
PVD,0.2544066205560418
FAR,0.24765224079224732
MSN,0.24428629091727422
GSP,0.2421321413902159
BUR,0.24085752723636292
SCC,0.23827801100110055
MDT,0.23717370454812525
ALB,0.23555778754566564
AFW,0.23532111349452617
ILI,0.2335606163903494
KTB,0.231780430724999
CGA,0.2317247118148838
BIL,0.23030010864824865
LIT,0.2260798050391968
IFP,0.2256861158481152
LBB,0.2242728585647914
STT,0.22356525960835572
COS,0.22337538322283448
FAT,0.22322565110201595
CID,0.22313883600368328
FSD,0.22284166198193797
ICT,0.21238758888685239
GAL,0.212140455512893
JAC,0.21138320849338108
BRW,0.2095282831118096
KSM,0.2072268166496402
BLD,0.20663830774031905
PNS,0.20454702445066883
CDB,0.2032646798908761
BHM,0.20066188416741365
LRD,0.20007765462568625
PWM,0.19630176562439478
FYU,0.1954232241630503
ROC,0.19503296209128423
CAE,0.1943380180292757
BED,0.19061244271794803
SBN,0.1898043863936694
LEX,0.18699850940134208
SPB,0.17636353655070447
WST,0.17636353655070447
SSB,0.17636353655070447
BID,0.17636353655070447
1G4,0.17360380488924493
AEX,0.17336948644056363
FWA,0.17152143992563634
MYR,0.16849805374419577
SGF,0.16811107343390982
SHV,0.16722433665024872
WTL,0.16640418307066268
VEE,0.16576608294472145
EUG,0.1613087297022149
BRO,0.15875360761817509
EGE,0.1581003813161238
HOM,0.15636444159219504
EEK,0.15258132164123425
LCK,0.15236201497411775
HDN,0.15088880261762477
KMY,0.14975709231875436
SYB,0.1496504779595839
SIT,0.14952978980269102
OOK,0.14929656343182646
GCN,0.14884849702254951
EYW,0.14837182382164657
KOY,0.14739880540238592
DGB,0.14739880540238592
ALZ,0.14707349248191165
KPR,0.1469775748741601
EDA,0.1449418825091364
PPV,0.1449418825091364
GRB,0.14384776433732185
PQS,0.14237865387078905
BTR,0.14227163597249787
XNA,0.14217818516929792
LGB,0.1413117207213936
MQY,0.1407115970206911
DAY,0.13787908592925294
SPN,0.13694638618312002
SNP,0.13628284062101206
GTF,0.1348805450681717
TLH,0.13476154714728172
SBA,0.13385414230089712
ATT,0.13270289165253654
MFR,0.13132653208546388
TCL,0.1297840034233084
HHR,0.12969745772867528
RDM,0.12955746746845292
KOT,0.12875666599091426
KTN,0.127344505125027
SMK,0.1270928524432836
MLL,0.12698116827937891
KKA,0.1267733651302578
ABE,0.12644136898354427
MAF,0.12455458816300442
BFI,0.1244405892604249
TNK,0.12346298136337402
LIH,0.12268378184693061
HUS,0.12160150762099343
PIA,0.12130420050849247
BIS,0.1211554713997919
KPN,0.12030259001872366
ASE,0.11809853247723452
MFE,0.11740832095465288
KUK,0.11646553356480854
ILN,0.11644867728845573
KWN,0.11630577477390147
ENA,0.11599990097865895
MTM,0.11598361786172796
HYL,0.11598361786172796
KCC,0.11598361786172796
HYG,0.11597118794471549
MTJ,0.11576678864870008
RDB,0.1157590332368941
ROA,0.11493314932427183
VPS,0.11315966046192158
WBB,0.11234877967345012
MHT,0.11185955599914403
KNW,0.11092682121775332
CLL,0.11059573048347733
FCA,0.110502177454157
MOU,0.11017285770890219
ACY,0.10964758471374485
GNV,0.10931899932636412
SXP,0.10926374162186428
CYF,0.10818983120200769
KKH,0.10797414645083639
AVL,0.10773610649057262
HRL,0.10770638263921796
PHO,0.10746019590297796
ECP,0.10743923601016295
WWT,0.10703036619567209
BTI,0.10652915545992818
KPB,0.10636185153798032
ATW,0.10520560273293143
ABL,0.10465142407884015
FNT,0.10307333185281185
MSO,0.10135035844396861
HSL,0.09985188114535848
KWK,0.09901180869475772
RAP,0.09898736074886286
NUP,0.09895718535926358
ARC,0.09840714294580265
ISP,0.09822510731325682
AUK,0.09819774245656805
HSV,0.09818816653805974
TVC,0.09779492072705195
TLT,0.09616948715633993
FRG,0.09552061133956606
SHH,0.09451843887057573
SBD,0.09409911902903609
ILM,0.0940221990632265
CKB,0.0928664064309917
SKK,0.09248231083012295
BMI,0.09209272238202108
ELI,0.09143378500151533
WBQ,0.09140816789807396
KVL,0.09043181940046306
GUM,0.09026002303476367
KLG,0.08992549258626488
AKP,0.0893314302968842
STX,0.08918199268669573
MHR,0.0889244584566242
PTH,0.08877369385268502
BTV,0.08864826450937727
ORV,0.08751172841797107
BLI,0.0874387997472837
DAB,0.08739837607624329
SCE,0.08714139982234521
RBY,0.0871108563887666
WWP,0.08706932899998869
KPV,0.08653100980954329
AET,0.08649609838297916
AMA,0.085746768608369
NME,0.08473904619944411
MCG,0.08420968634673537
SOV,0.08407660952844424
WLK,0.08393124275241066
KCQ,0.08284856506389822
MRY,0.08253499909014647
LAN,0.08217001106624959
RMP,0.0820704342632634
MRI,0.08205647408090865
CHA,0.08105285131273832
ACT,0.08086936487286966
BKC,0.08054626034218758
SDP,0.08042132338509399
IAN,0.0797206206361421
KKI,0.0791655350145728
PSC,0.07909015161108247
RSH,0.07903181828274852
TKJ,0.07826591481415779
KXA,0.07741657411751922
MLI,0.07614447848609653
WMO,0.07578935565372315
KMO,0.07527208793796092
KZB,0.07510441594026393
GJT,0.07507940364960303
TIQ,0.07488913410813064
KWP,0.074781426441894
UGI,0.074781426441894
ROP,0.0745114220058921
KCL,0.07445357766985211
ORI,0.07418562594918537
BCT,0.07410142013939611
EVV,0.07393089531965302
AOS,0.07381865812290925
06A,0.07381865812290925
EHR,0.07381865812290925
KPY,0.07381865812290925
A50,0.07381865812290925
SUN,0.07355505710256585
KWT,0.07352302487065485
AKK,0.0735083611626924
GAM,0.07271786011872733
SVA,0.07265099671462161
BTT,0.07260386516698879
WTK,0.07109020050374334
CAK,0.07106207475266124
7AK,0.07075544668962383
KGX,0.0707223521627192
IDA,0.07018362985775918
PDK,0.07001229539027456
