airline_sentiment_Index,features,rawPrediction,probability,prediction
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[182,275,405,477,506,527,560,566,601,628,662,783,908],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.7452765265636434,-1.248674994933893,-0.49660153162974996]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8647916624160787,0.04331665069612257,0.09189168688779856]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[195,276,330,373,533,560,733,815],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.4689188727264892,-0.21049933823626266,-1.2584195344902267]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7988014489123699,0.148962441609928,0.05223610947770217]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[216,262,330,389,479,527,626,659,743,759,890,892],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.126299912629129,-1.3709317272305306,-0.7553681853985978]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9205371194615496,0.027874873323605363,0.05158800721484511]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[31,148,230,385,406,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0332386718063642,-0.16698596760564854,-0.8662527042007157]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6892885316762731,0.20756308399170445,0.10314838433202243]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[8,112,196,227,330,445,447,574,602,646,777,815,834,935],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.267174913630868,-0.5666811728314353,-1.7004937407994327]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9278992427277895,0.054547237303570695,0.01755351996863987]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[10,29,188,330,372,498,522,759,807,826,853,901],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4813388283935213,-0.10173891927970757,-0.3795999091138137]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5048101286499916,0.2817738018680288,0.2134160694819795]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[112,162,297],""values"":[1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.08714773361377048,0.013996839195258293,-0.1011445728090285]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3626035234621888,0.33702567725005245,0.3003707992877587]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[94,112,330,372,491,822],""values"":[1,1,2,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.13014050165943028,-0.433613982404213,0.5637544840636435]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2673978653181678,0.19740633146738187,0.5351958032144504]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[39,81,165,297,389,429,451,460,649,783,791,855],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.7458264641024828,-1.5189743705048322,-1.2268520935976497]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9681689167856724,0.013607290812574144,0.01822379240175324]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[12,112,166,370,372,408,493,540,560,585,590,678,758,873,892,898,905],""values"":[1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.9194561493290612,-1.8297765103646388,-0.08967963896442127]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8638261680091958,0.020330838971232404,0.11584299301957175]}",0
